GSTIN,COMPANY_NAME
05CKVPS0511B1ZD,M/S A R ENGINEERS
06AADCR2917D1ZQ,ROSMERTA TECHNOLOGIES LTD.
06AADCV5910G1ZH,VAAAN INFRA PRIVATE LIMITED
06AAFCK0582R2Z0,K.K. ELECTRO APPLIANCES PRIVATE LIMITED
06AAACA3834B1ZC,ABB INDIA LIMITED
06AABCA3456E1Z3,AMBER ENTERPRISES INDIA LIMITED
06ABKFM1505B1ZU,MUNJAL METAL INDUSTRIES
06AAFCS9908R1ZH,SHUBHAM FLEXIBLE PACKAGING MACHINES PVT. LTD.
06AABPY0565H2ZL,SARD ENTERPRISE
06AAPFB9208G1ZC,B. G. MARKETING
06AVUPS7173D1Z0,Satya Computer  Solution
06AADCL7793B1ZG,LIKEON TRADING INTERNATIONAL PRIVATE LIMITED
06AAOCA1574A1ZZ,APJ INVESTMENTS PRIVATE LIMITED
06AANFR7441K1ZQ,RINGTEL MARKETING
06AABCF9778Q1ZO,FISCHER CONNECTORS INDIA PVT LTD
06AAACZ7194F1Z2,ZENATIX SOLUTIONS PVT LTD
06AHFPC6360F1ZP,REBUILD ENERGY
06AAEPC2965J1ZS,Chandra Engineers
06ABEFA6457C2ZO,ARKTRON ELECTRONICS
06AJMPG7296B1Z4,SUPERCUT WELDING INDUSTRIES
06BOAPG4976A1ZA,SAVERA ENERGIES
06AACCI5313D1Z4,ID TECH SOLUTIONS PVT LTD
06AAACP9084G1Z9,POOJA METAL PROCESSORS P. LTD
06AAACK0236D1Z8,SEAGA INDIA PRIVATE LIMITED
06AABCK5797N1ZU,KBR TRADING PRIVATE LIMITED
06AOTPS9608F1ZB,NEW BRIGHT ELECTRICALS
06AAKCM8474H1Z0,MINDA ONKYO INDIA PRIVATE LIMITED
06AAECV0955A1ZP,Vasu Alloys Private Limited
06AARCS9812N1ZI,SIMPLEX SYSCON PRIVATE LIMITED
06AAACN0255D1Z2,NTPC LIMITED (FARIDABAD GAS POWER PROJECT)
06AAQCA7376N1ZU,AHUJAS' NEXUS INDIA PRIVATE LIMITED
06ALTPP5523D1ZY,CHIRAG ELECTRONICS
06AAECS4728C1ZL,SCHENCK PROCESS INDIA PRIVATE LIMITED
06AABCH1438D1Z4,HILUX AUTO ELECTRIC PVT. LTD.
06AACCE1354Q1ZG,EDDY ELECTROMECH PRIVATE LIMITED
06AAAFI2847P1Z2,INDUSTRIAL EQUIPMENTS COMAPNY
06AAECV1425F1ZO,VCELL INDIA IMPEX PRIVATE LIMITED
06AABCJ1679C2ZS,JAIDURGA PROJECTS PRIVATE LIMITED
06AAGPJ3098R1Z1,DYNAMIC POWERS
06AAPCA4444G1ZN,ADM SOLAR POWER AND INFRASTRUCTURE PRIVATE LIMITED
06AAEFF5902A1Z2,FUTURE AND TECHNOLOGIES (INDIA)
06AAAFB3030B1ZH,BHARAT ENTERPRISES
06KNGPK7664K1Z9,CHIRAG ENTERPRISES
06AAECK1982G1ZJ,KCM APPLIANCES PRIVATE LIMITED
06AAACS4778G1Z7,Shree Bhiksu Components Pvt Ltd
06AAGCG1401Q1ZM,GAG INFORMATICS SYSTEMS PRIVATE LIMITED
06AAACL4456E1ZR,LIMITORQUE INDIA LTD.
06AAFCC7218J1ZM,CORVI LED PRIVATE LIMITED
06AACCF8403H1ZU,FUJI GEMCO PRIVATE LIMITED
06AAECM2284R1ZX,ATANDRA ENERGY PRIVATE LIMITED
06AAHCK1910H1ZU,KK LIGHTING INDIA PRIVATE LIMITED
06AAKCP5491K1ZV,PSC INDUSTRIAL SOLUTIONS PRIVATE LIMITED
06AAGCN4669R1ZL,NORTH WEST INDUSTRIES PRIVATE LIMITED
06AAFCT4348A1ZN,TWD SUN ACOUSTIC PRIVATE LIMITED
06AAECB3612J1ZY,BLUELINE POWER PRODUCTS PVT. LTD.
06AADCG8160F1ZQ,Geetha Hospitality Pvt Ltd
06AAHFF5561E1ZK,FUTUREHOME APPLIANCES
06AGSPA3532D1ZS,SHREE RAM STAMPING
06AAHCS9021P1ZV, 
06AABCH9456K1Z7,BMR HVAC LIMITED
06AAACE6641E1ZZ,EXIDE INDUSTRIES LIMITED
06AAACI8572N1Z2,ITP ELECTRONICS PRIVATE LIMITED
06AAFCC1712K1ZX,CREATIVE HITECH PRIVATE LIMITED
06AAEFD9185B1ZJ,DURGA ENTERPRISES
06AABCC4708R1ZD,CONDOR POWER PRODUCTS PRIVATE LIMITED
06AADCL8219N1Z4,LEEMA MOBILES INDIA PRIVATE LIMITED
06ABBCS9200M1Z8,SASG UV SOLUTIONS PRIVATE LIMITED
06AABCS9959C1Z5,World Fashion Exchange (I) Pvt. Ltd.
06AACCJ0529L1ZM,JBM ENVIRONMENT MANAGEMENT PRIVATE LIMITED
06AAFCE0233K1ZX,EKKAA ELECTRONICS INDUSTRIES PRIVATE LIMITED
06AAACM0344C3Z5,MINDA CORPORATION LIMITED
06ACWPC6515G1ZJ,SCANDIA ENTERPRISES
06AABCF2451Q1ZG,FIMO INDIA MANUFACTURING PRIVATE LIMITED
06AAECA0878K1ZJ,AKASH PACK TECH (P) LTD.
06AAECC5616R1Z9,CARRIER MIDEA INDIA PRIVATE LIMITED
06AAFCA6995A1ZP,S.S.P. PACKAGING SOLUTIONS PVT. LTD.
06AACCV7701J1ZA,VALEO INDIA PRIVATE LIMITED
06AAACE2308J1Z0,EMSONS PRODUCTS PVT LTD
06ABAFS3477N1ZQ,SAMSON AUTOMATION TECHNOLOGIES
06AAACH0198R1Z5,HILUX AUTOMOTIVE PVT. LTD.
06AADCH5333F1ZW,Helios Precision Controls Pvt. Ltd.
06AAKCS8104J1Z6,S.G. Corporate Mobility Pvt. Ltd.
06AANCS1016J2ZD,SPACE TELELINK LIMITED
06AAACM6385K2Z4,M & M MACHINE CRAFT PRIVATE LIMITED
06AAMFK4509L1Z1,KONCEPT ENGINEERS
06AACCO2946G1ZJ,OASIS CONNECTIVITY PRIVATE LIMITED
06AAFCB6983M1Z3,BURGEON ENGINEERING PVT. LTD.
06AARCA0454A1Z3,ADSUN ELECTRONICS PRIVATE LIMITED
06AAACZ6677P1ZF,3R RECYCLER PRIVATE LIMITED
06AAACC2156L1ZS,CMI LIMITED
06ACVPJ3723G1ZH,JINDAL RECTIFIERS
06AADCS9359Q1ZG,SPACEAGE SWITCHGEARS PRIVATE LIMITED
06AAFCI3699P1ZR,IMZ Corporate Private Limited
06AADCB8482H1ZI,BRIJ FOOTCARE PVT. LTD.
06AGOPR5696K1ZF,SAI TECH ELECTRICAL & ELECTRONICS CO.
06AAACR6940H1ZE,RAKSAN TRANSFORMERS PVT. LTD.
06AACCH9538H1ZE,QDIGI SERVICES LIMITED
06AAYPM9036A1ZH,SYSTEMS AND SERVICES POWER CONTROLS
06AADCC0900F1ZE,CASTMASTER MOBITEC INDIA PRIVATE LIMITED
06BSJPD8244D1ZX,Haver Electric
06AABCA1906H1Z6,APPLE INDIA PRIVATE LIMITED
06AAFCH5048H1ZM,HELLA EMOBIONICS PRIVATE LIMITED
06AAFCK0236J1ZQ,K. T. PROJECTS PRIVATE LIMITED
06AATFG6031C1ZK,GLOBAL ENERGY SAVER
06AAOCS8185M1ZF,SPECTRUM WEIGHPACK PRIVATE LIMITED
06AAMCS8797H1ZI,SVARN INFRATEL PVT. LTD.
06AHZPG4279K1ZK,OM INDUSTRIES
06AADCE1141L1ZW,ELECTRACON PARADISE LIMITED
06ABNFA5408J1ZC,ARM RENEWABLES
06AAKFT1540Q1ZR,TROPAK POWER LLP
06AAICS4340J1ZA,SHIVALIC POWER CONTROL PVT. LTD.
06AAACL1126D2Z7,LUMAX INDUSTRIES LTD.
06ABCPY0527D2ZW,UNIVERSAL POWER SYSTEM
06AADPW6545P1ZX,KARTIK ELECTRONICS
06AADCT2013J1ZO,TRONTEK ELECTRONICS PRIVATE LIMITED
06AAACA2829E1Z5,AVAIDS TECHNOVATORS PVT. LTD.
06AARFK2340N1ZZ,KUBERR CROPS & SCIENCE (I) LLP
06AAFCI4117G1ZV,INTELENERGI GLOBAL PRIVATE LIMITED
06AABCB6213C1ZD,BESOTO STARTING SYSTEMS PVT LTD
06AAPFM8444D1Z3,M.C.S. INSULATORS
06ADJPM7465M1ZW,Apex Plastics
06AADCC1932F1Z4,CALSONIC KANSEI MOTHERSON AUTO PRODUCTS PRIVATE LIMITED
06ABGPY9432K1Z0,ROHAN INFOTECH
06AAACK5817E1ZT,KOHLI CABLES PVT. LTD.
06AAACU4101B2Z5,UNIQUE ENGINEERS PRIVATE LIMITED
06AYKPS4742F1Z7,VENKATESHWARA ENGINEERS
06AATCS1151L1Z0,STB TECHNOLOGIES PVT. LTD.
06AABCU1956H1ZC,UNIQUE ENERGOS PVT. LTD
06AAICP6967G1ZZ,PINEVIEW TECHNOLOGY PRIVATE LIMITED
06AABCK8097R1ZN,KUMAR PRECISION STAMPINGS PVT. LTD.
06AMIPK7188D1ZV,K.B. ENTERPRISES
06AABCS9990D1Z4,SDS ELECTRONICS (P) LTD.
06AACFJ9239Q1ZP,JAY BEE INDUSTRIES
06AAGCM0867N2Z1,MV Electrosystems Limited
06AAFCC9003K1ZP,EULER MOTORS PRIVATE LIMITED
06ADEFS2376L1ZQ,SKY BOUND AUTOPLAST
06AAPPA3484R1Z3,SNACANS TECHNOLOGIES
06AAACA0636P1ZP,ALCON BUILDERS ENGG PVT LTD
06AAFCB4745H1ZQ,BEAM INFOTECH PRIVATE LIMITED
06AACCC4213A1ZJ,CLAD METAL INDIA PRIVATE LIMITED
06AADCC5109J1ZU,CENTURY INFRAPOWER PRIVATE LIMITED
06AADCF2634F2ZZ,FUJIYAMA POWER SYSTEMS PRIVATE LIMITED
06BZXPG9525R1Z7,SP METALS & ALLOYS
06AAFCG5884Q1ZS,GAUTAM SOLAR PRIVATE LIMITED
06AAKFS2293M1ZO,SONI INDUSTRIES
06AAECG5676P1ZX,Livguard Batteries Private Limited
06AIVPG2780Q1ZF,Koins Mechatronics
06AARCS0744D1ZE,STAUBLI TEC SYSTEMS INDIA PRIVATE LIMITED
06AABCP8256H1ZA,PSP APPLIANCES PRIVATE LIMITED
06AABFO0555F1ZN,Optima Machineries
06AACCI5673E1ZN,INDO-TECH MAGNETICS PRIVATE LIMITED
06ABEPN6714F3ZR,NANDA GLASS INDUSTRY
06AAHCS1569E1ZD,SHANKAR MOULDING LTD
06AAACA1386J1ZS,AUTOMATIC INSTRUMENTS PVT LTD
06AAACO7438F2ZH,OMNIA TECHNOLOGIES PVT. LTD.(E.O.U. UNIT)
06AACCM4446M1Z9,Mitsuba India Private Limited
06AALCA0537G2ZW,B J INFOTECH (A UNIT OF AIPL)
06AASCA8495L1ZQ,ALLIED HTI PRIVATE LIMITED
06AAACH0351E1Z9,HAVELLS INDIA LTD
06AAXCS9197C1ZL, 
06AAACR4048L1ZA,RELIABLE DIESEL ENGINEERS PVT. LTD.
06AAFCP7109M2Z4,WARMEX HOME APPLIANCES PRIVATE LIMITED
06ABCCS8902P1ZU,SHIVALIK GREEN ENERGY PRIVATE LIMITED
06AAACC1190J1ZW,CHRONOS RICHARDSON INDIA PRIVATE LIMITED
06AAHFG8628F1ZB,GSP POWER PROJECTS (RETAIL DIVISION)
06AABCD0321M1Z1,DANFOSS INDUSTRIES PVT. LTD.
06AALCA0537G3ZV,AMBRANE INDIA PRIVATE LIMITED
06AADCH6305B1Z6,Hero Electronix Private Limited
06AABCN4157F1ZO,NEOLITE ZKW LIGHTINGS PVT. LTD.
06AEMPB0002P2ZS,BHARTI REFRIGERATION WORKS
06AAYCS8557R1ZV,SYSKA MITERR PRIVATE LIMITED
06AAACJ9063D1ZQ,JUMPS AUTO INDUSTRIES LIMITED
06AJKPK8772E1ZX,ADITEL COMMUNICATIONS
06AALCM1256E1ZN,MSM RETAIL PRIVATE LIMITED
06AAPCS7981Q1Z4,SGS TEKNIKS MANUFACTURING PRIVATE LIMITED
06ADUFS2875A1ZT,SHRI RADHA VALLABH ENTERPRISES
06AAECI1595F2ZL,INDIGRID TECHNOLOGY PRIVATE LIMITED
08AAACB5985C1ZP,BHARAT ELECTRONICS LIMITED
08AAJCM7672A1ZD,MUNDRA SOLAR PV LIMITED
08AAACH7386P1ZT,Hulasi Metals Private Limited
08AAFCM7344B1ZM,MARATHON HEATER (INDIA) PRIVATE LIMITED
08AADCS0472N1Z2,SUZLON ENERGY LIMITED
08AACCA7855L1Z8,AGRO SOLVENT PRODUCTS PRIVATE LIMITED
08ANHPK2143G1Z7,SOURABH ENGINEERS & CONSULTANT
08AAKCM2495A1ZH,ADANI RENEWABLE ENERGY HOLDING ONE LIMITED
08AAECM4786E1Z9,MARSONS ENERGY PVT. LTD.
08AAACB6690C1ZT,BIKANER CERAMICS PVT. LTD.
08AAKCA2311H1Z0,OLA FLEET TECHNOLOGIES PRIVATE LIMITED
08AABCA4083B1Z4,Autolite India Ltd.
08AAACF1034E1Z9,FIEM INDUSTRIES LIMITED
08AAJFS5776N1Z9,Shree Tranasformers
08AABFK3333R1Z0,M/S KALPANA INDUSTRIES
08AANCA1814G1ZT,ADANI GREEN ENERGY LIMITED
08AAACW6349M1ZR,SITI CABLE NETWORK LIMITED
08AANCA6053H1ZI,ADANI RENEWABLE ENERGY PARK RAJASTHAN LIMITED
08AHXPS6796F1Z7,CEGA Electric
08AAKFC7937L1ZT,COMFLEX CABLE INDUSTRIES
08ADGFS4263G1ZX,SJ TRANSFORMERS LLP
08AACCM7306G1ZL,VS LIGNITE POWER PRIVATE LIMITED
08AAAFB3052F1ZZ,BEACON ELECTRONICS
08ADMPJ5588K1ZS,VIDYUT TRANSFORMERS & ELECTRICALS
08ACKPS1873M1ZV,SHEKHAWAT GAS APPLIANCES
08AAACT4660J1Z6,TATA POWER SOLAR SYSTEMS LIMITED
08AAXCS9197C1ZH, 
08AATFM5746L1ZF,MANISH ELECTRICALS (INDIA)
08AADFE8009N1Z5,ELECTROMECH
08AAACP1352P1Z7,PARAS LAMINATES PVT LTD
08ACIPG4040Q1ZC,Goyal Transformer Udyog
08AABCF6092M1Z7,FOURTH PARTNER ENERGY PRIVATE LIMITED
08AACCT1693F1ZA,THE WIPE HOTWIRE INDIA THERMAL EQUIPMENTS PRIVATE LIMITED
08AAACU9802F1ZC,UTC MARKETING PRIVATE LIMITED
08AAJCS2455D1ZE,SURENDRA ELECTRICALS PRIVATE LIMITED
08AABCM2145G1ZR,MEHRU ELECTRICAL AND MECHANICAL ENGINEERS (P) LTD
08AAKCA5601N1ZG,Arctic Refrigeration Private Limited
08AAACU6815C1ZJ,UKB ELECTRONICS PRIVATE LIMITED
08AABCR1635E1ZP,RAJASTHAN TRANSMISSION WIRES PRIVATE LIMITED
08AAACM8040P1Z3,MALHOTRA CABLES PRIVATE LIMITED
08AAPCA4132R1Z3,AZURE POWER ROOFTOP PRIVATE LIMITED
08AJZPR9306A1ZR,KOTA ELECTRODES
08AAACP1342F1ZU,PARAMOUNT WIRES AND CABLES LTD
08AGBPS1419A1ZV,RAJ ELECTRICALS
08AGXPS0466K1ZJ,M/S VED PRAKASH & COMPANY
08AJQPK2151B1ZG,SHANTI ELECTRICALS
08AAECM1817G1ZN,MILLBORN SWITCH GEARS PVT. LTD.
08AEPPC7276R1ZJ,OM INDUSTRIES
08AATFB6101C1ZQ,BALAJI ARCADE
08AAHCK0211D1Z6,KUMI INDIA INDUSTRIES PRIVATE LIMITED
08AABCM6605K1ZD,MOR TRANSFORMERS AND CABLES PRIVATE LIMITED
08AAKCP2145E1ZJ,POWERTRONICS CONTROL SYSTEM PRIVATE LIMITED
08AAACG0729R1Z9,UNIWIRE CABLES INDIA PVT.LTD
08ACPPB8619P1ZV,GAURAV  POWER DEVICES
08AAMCA6949B1ZI,ACCORD TRANSFORMER & SWITCHGEAR PRIVATE LIMITED
08AAAFB1265A1Z6,GOGUNDA PALACE HOTEL (A UNIT OF BHARAT TIMBER & CONSTRUCTION COMPANY)
08AABCL5515D1ZU,LOROM INDIA CORPORATION PRIVATE LIMITED
08AACFN1518Q1ZZ,NATIONAL ELECTRICAL EQUIPMENTS CORPORATION
08AAACH5925L1ZC,HI TECH INSULATORS PVT. LTD.
08AAACR6750K1Z3,RMC SWITCH GEARS LIMITED
08AACCE0525D1Z8,AVAADA ENERGY PRIVATE LIMITED
08AAACM0092P1Z7,MICROTEK INTERNATIONAL PRIVATE LIMITED
08AAHCS0088A1ZL,SNAP ENERGY PVT. LTD.
08AHJPR7142L1ZR,BIG TRENDS
08AXOPP4574D1Z2,MAHIMA COMMUNICATION
08AABCE5310P1ZJ,ENGINEERS & ENGINEERS ELECTRICALS PVT.LTD.
08AACCH4294G1ZH,HARDIK TRANSFORMERS PRIVATE LIMITED
08AAQFM6966K1ZC,MOHIT TRANSFORMERS
08AABCB9972G1ZD,BHAGWATI HOTELS AND RESORTS LIMITED
08AASCA1832D1ZS,ADANI GREEN ENERGY SIX LIMITED
08AABCJ8537F1ZG,J PAN TUBULAR COMPONENTS PRIVATE LIMITED
08AAECG0482B2ZZ,Greenko DND Wind Power Private Limited
08AAECM6457C1ZH,MEGATECH INTERNATIONAL PVT LTD
08ACIFS6990F1ZL,STERLING FABRICATORS
08AAFCV9517M1ZN,VENTREX ENERGY PRIVATE LIMITED
08AAACU2962L1Z0,UTTAM  BHARAT  ELECTRICALS  PVT  LTD
08AAJCS7770B1Z6,SUDARSHAN TRANSFORMERS PVT. LTD.
08AADFD7949J1ZZ,DEE EM SYSTEMS
08AAICR2572F1ZA,RS POWER SYSTEMS PRIVATE LIMITED
08AAACE0138N1ZO,ERICSSON INDIA PRIVATE LIMITED
08AADCS4755L1ZW,SAFFRON DECORATIVES (P) LTD.
08AAGCV1986R1ZB,VIJAY GRANIMARMO PRIVATE LIMITED
08AAMCA7175K1Z3,AKHAND DISTRIBUTORS PRIVATE LIMITED
08ABSPP7781N2ZE,FARM INPUT TRADING COMPANY / FINE TRAP (INDIA)
08AABCM7588D1Z8,SHREE RIDHI SIDHI INDUSTRIES UNIT MPPL
08AAKFG9363Q1ZF,G & G ENTERPRISES
